doi,title,authors,year,publicationName,url,citedby-count,dblp_key,dblp_type,dblp_ee,dblp_pages,dblp_volume,dblp_number,dblp_publisher,dblp_series
10.2312/EUROVA.20201081,An Exploratory Visual Analytics Tool for Multivariate Dynamic Networks.,Hasan Alp Boz; Mohsen Bahrami; Yoshihiko Suhara; Burçin Bozkaya; Selim Balcisoy,2020,EuroVA@Eurographics/EuroVis,https://dblp.org/rec/conf/eurova-ws/BozBSBB20,0,conf/eurova-ws/BozBSBB20,Conference and Workshop Papers,https://doi.org/10.2312/eurova.20201081,19-23,,,,
10.2312/ENVIRVIS.20211078,Probabilistic Principal Component Analysis Guided Spatial Partitioning of Multivariate Ocean Biogeochemistry Data.,Subhashis Hazarika; Ayan Biswas; Earl Lawrence; Philip J. Wolfram,2021,EnvirVis@EuroVis,https://dblp.org/rec/conf/envirvis-ws/HazarikaBLW21,0,conf/envirvis-ws/HazarikaBLW21,Conference and Workshop Papers,https://doi.org/10.2312/envirvis.20211078,9-15,,,,
10.2312/EVP.20211070,Unfolding Edges for Exploring Multivariate Edge Attributes in Graphs.,Mark-Jan Bludau; Marian Dörk; Christian Tominski,2021,EuroVis,https://dblp.org/rec/conf/vissym/BludauDT21,0,conf/vissym/BludauDT21,Conference and Workshop Papers,https://doi.org/10.2312/evp.20211070,17-19,,,,
10.2312/EVS.20211053,Visualization of Uncertain Multivariate Data via Feature Confidence Level-Sets.,Sudhanshu Sane; Tushar M. Athawale; Chris R. Johnson 0001,2021,EuroVis,https://dblp.org/rec/conf/vissym/SaneAJ21,0,conf/vissym/SaneAJ21,Conference and Workshop Papers,https://doi.org/10.2312/evs.20211053,43-47,,,,
10.2312/EUROVA.20221083,Towards Understanding Edit Histories of Multivariate Graphs.,Philip Berger; Heidrun Schumann; Christian Tominski,2022,EuroVA@EuroVis,https://dblp.org/rec/conf/eurova-ws/BergerST22,0,conf/eurova-ws/BergerST22,Conference and Workshop Papers,https://doi.org/10.2312/eurova.20221083,73-77,,,,
10.2312/EUROVA.20221081,"Multivariate Time Series Retrieval with Symbolic Aggregate Approximation, Regular Expression, and Query Expansion.",Yuncong Yu 0001; Tim Becker; Michael Behrisch 0001,2022,EuroVA@EuroVis,https://dblp.org/rec/conf/eurova-ws/YuB022,0,conf/eurova-ws/YuB022,Conference and Workshop Papers,https://doi.org/10.2312/eurova.20221081,61-65,,,,
10.2312/EVS.20221085,"How Effective are Uni- and Multivariate Typographic Encodings? Studying the Usage of FontWeight, Oblique Angle, and Spacing.",Andreas Bäuerle; Richard Brath; Mennatallah El-Assady,2022,EuroVis,https://dblp.org/rec/conf/vissym/BauerleBE22,0,conf/vissym/BauerleBE22,Conference and Workshop Papers,https://doi.org/10.2312/evs.20221085,7-11,,,,
10.2312/EVP.20221115,Visual Queries on Bipartite Multivariate Dynamic Social Networks.,Alexis Pister; Christophe Prieur; Jean-Daniel Fekete,2022,EuroVis,https://dblp.org/rec/conf/vissym/PisterPF22,0,conf/vissym/PisterPF22,Conference and Workshop Papers,https://doi.org/10.2312/evp.20221115,39-41,,,,
10.2312/EVP.20221127,PSEUDo: Interactive Pattern Search in Multivariate Time Series with Locality-Sensitive Hashing and Relevance Feedback.,Yuncong Yu 0001; Dylan Kruyff; Jiao Jiao; Tim Becker; Michael Behrisch 0001,2022,EuroVis,https://dblp.org/rec/conf/vissym/YuKJBB22,0,conf/vissym/YuKJBB22,Conference and Workshop Papers,https://doi.org/10.2312/evp.20221127,87-89,,,,
10.2312/EVP.20231063,MILADY (Matrix+Linear Diagram): Visual Exploration and Edition of Multivariate Graphs for Computer Networks Management.,Mathieu Guglielmino; Francesco Bronzino; Arnaud Sallaberry; Sébastien Monnet,2023,EuroVis,https://dblp.org/rec/conf/vissym/GuglielminoBSM23,0,conf/vissym/GuglielminoBSM23,Conference and Workshop Papers,https://doi.org/10.2312/evp.20231063,41-43,,,,
10.2312/EVP.20231053,A Conversational Data Visualisation Platform for Hierarchical Multivariate Data.,Ecem Kavaz; Inmaculada Rodríguez; Anna Puig; Eduard Vives,2023,EuroVis,https://dblp.org/rec/conf/vissym/KavazRPV23,0,conf/vissym/KavazRPV23,Conference and Workshop Papers,https://doi.org/10.2312/evp.20231053,1-3,,,,
10.2312/EVS.20241059,Show Me Similar Nodes: The Similarity Lens for Multivariate Graphs.,Christian Tominski; Philip Berger,2024,EuroVis,https://dblp.org/rec/conf/vissym/TominskiB24,0,conf/vissym/TominskiB24,Conference and Workshop Papers,https://doi.org/10.2312/evs.20241059,,,,,
